Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
0,1,0,0,20,0,0,0,0,Graduate
0,1,0,0,36,0,0,0,0,Dropout
0,1,0,0,43,18,14.63157895,13,14.23076923,Graduate
0,1,0,0,19,0,0,0,0,Dropout
1,1,0,0,20,10,13,11,12.27272727,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,20,4,14.2,4,13.25,Dropout
0,1,0,0,20,6,13.26666667,5,12.3,Dropout
0,1,0,0,20,6,11.66666667,3,13,Enrolled
0,1,0,0,18,6,13.85714286,6,15,Graduate
0,1,0,1,18,3,13,3,11,Enrolled
0,1,0,0,19,5,13.4,5,12.8,Graduate
0,1,0,0,18,6,12.66666667,6,12.57142857,Graduate
0,1,0,0,18,6,12.51666667,6,12.51666667,Dropout
0,1,0,0,20,6,11.61666667,7,13,Enrolled
0,1,0,1,20,2,10,4,10.75,Enrolled
0,1,0,0,20,3,10.33333333,3,10.66666667,Enrolled
0,1,0,0,18,5,13.14285714,5,11.4,Graduate
0,1,0,0,18,5,12.6,5,14,Graduate
0,1,0,0,21,3,11,2,11,Dropout
0,1,0,0,19,5,10.8,4,11.25,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,1,19,5,12.8,5,14.2,Graduate
0,1,0,0,19,6,14.16666667,6,12.2,Graduate
0,1,0,0,19,5,12.1,0,0,Dropout
0,1,0,0,20,6,14.16666667,5,13.77777778,Graduate
0,1,0,1,18,5,12.8,5,13.4,Enrolled
0,1,0,0,18,6,13,6,13.66666667,Graduate
0,1,0,0,19,7,13.46714286,8,15.01111111,Graduate
0,1,0,1,18,7,13.2375,7,13.74285714,Dropout
0,1,0,0,18,6,12.33333333,6,13,Graduate
0,1,0,0,19,5,12.4,5,14.6,Graduate
0,1,0,0,19,5,14,0,0,Dropout
0,1,0,0,20,9,11.66666667,7,11.71428571,Graduate
1,0,0,1,19,5,12,4,12.5,Dropout
0,1,0,0,20,4,12.2,4,11.5,Graduate
1,1,0,1,18,6,14.83333333,6,14.83333333,Graduate
0,1,0,1,20,5,13.188,7,12.89285714,Enrolled
0,1,0,0,18,7,17.125,8,17.5875,Graduate
0,1,0,0,19,6,12.66666667,6,12.66666667,Graduate
0,1,0,1,19,6,12.66666667,5,12,Graduate
1,0,0,0,22,0,0,0,0,Enrolled
0,1,0,1,19,6,11.33333333,6,11.5,Graduate
0,1,0,1,19,7,13.605,8,12.33125,Graduate
0,1,0,1,19,5,12,5,10.8,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,20,5,11.2,3,11.66666667,Dropout
0,1,0,0,18,5,13.375,5,14.16666667,Graduate
0,1,0,1,20,6,13.86333333,7,14.17857143,Graduate
0,1,0,0,18,0,0,0,0,Enrolled
0,1,0,0,19,5,12.4,5,13.4,Graduate
0,1,0,0,18,3,12.33333333,5,10.83333333,Enrolled
0,1,0,0,18,6,13.33333333,5,11.8,Graduate
0,1,0,0,21,3,12.66666667,3,10,Dropout
0,1,0,0,19,6,12,4,11.5,Dropout
0,1,0,1,18,5,10.6,5,11.8,Graduate
0,1,0,1,18,6,12.25,6,11.85714286,Graduate
0,1,0,0,20,4,11,6,11.83333333,Graduate
0,1,0,1,24,5,11,5,12.6,Graduate
0,1,0,0,19,6,13.16666667,6,13,Dropout
0,1,0,1,18,7,12.85555556,7,12.76111111,Graduate
0,1,0,0,18,7,14.91875,8,15.355,Graduate
0,1,0,0,21,4,11.5,3,11,Dropout
0,1,0,0,19,5,14.2,5,14.2,Graduate
0,1,0,1,19,6,12.5,6,13,Graduate
1,1,0,0,47,0,0,0,0,Enrolled
0,1,0,0,19,5,11.66666667,4,11,Graduate
0,1,0,0,29,7,14.25714286,7,14.25714286,Graduate
0,1,0,0,21,3,12,2,11.33333333,Dropout
0,1,0,0,28,4,11.25,4,10.5,Enrolled
0,1,0,0,20,7,12.45714286,8,13.5625,Graduate
0,1,0,0,19,6,11.68333333,6,11.68333333,Graduate
0,1,0,0,26,3,11.66666667,5,12,Graduate
1,0,0,0,20,4,11.75,6,13.16666667,Dropout
0,1,0,1,18,3,11.66666667,4,13.5,Enrolled
0,1,0,0,27,5,13.2,5,12,Graduate
0,1,0,0,20,4,11.95,4,11.95,Dropout
0,1,0,0,18,5,12.4,5,10.4,Dropout
0,1,0,0,33,6,14.35,6,14.58333333,Dropout
0,1,0,0,35,21,12.61904762,19,12.78947368,Graduate
0,1,0,1,26,6,12.66666667,6,13.16666667,Enrolled
1,0,0,0,27,5,12,0,0,Dropout
0,0,0,0,19,6,12.16666667,0,0,Dropout
0,1,0,0,20,0,0,0,0,Dropout
1,0,0,0,20,3,10,3,10.57142857,Dropout
1,0,0,0,21,8,11.5,4,10,Enrolled
0,1,0,1,18,6,13.05,6,13.05,Graduate
0,1,0,0,24,2,11,0,0,Dropout
0,1,0,0,20,6,11.5,6,12,Graduate
0,1,0,1,21,6,12,6,12.5,Graduate
0,1,0,0,23,2,10,1,10,Enrolled
0,1,0,0,24,0,0,0,0,Dropout
0,1,0,0,21,0,0,0,0,Dropout
0,1,0,0,18,7,12.24285714,7,12.24285714,Graduate
0,1,0,0,27,0,0,0,0,Dropout
0,1,0,0,18,8,12.93375,8,12.93375,Graduate
0,1,0,0,35,0,0,0,0,Dropout
0,1,0,0,18,7,12.57142857,7,14.42857143,Graduate
0,1,0,0,35,3,11.81666667,3,11.33333333,Enrolled
0,1,0,0,19,4,13.75,4,14.33333333,Graduate
0,1,0,0,20,6,11.16666667,6,11.33333333,Graduate
0,1,0,0,18,7,12.32428571,7,12.32428571,Graduate
1,1,0,0,21,6,12.16666667,6,11.71428571,Graduate
0,1,0,1,18,5,11.14285714,4,11.25,Graduate
0,1,0,0,18,4,11,4,10.75,Graduate
0,1,0,0,18,7,12.91428571,7,12.91428571,Graduate
0,1,0,1,18,6,13.83333333,6,14.16666667,Graduate
0,1,0,0,19,6,13.85714286,5,13.4,Graduate
0,1,0,1,36,6,13.71428571,5,12.8,Dropout
0,1,0,1,18,7,12.64285714,7,12.64285714,Graduate
0,1,0,1,18,6,12.91666667,6,12.91666667,Graduate
0,1,0,1,20,6,15.625,6,15.85714286,Graduate
0,1,0,1,26,0,0,0,0,Dropout
0,1,0,0,21,6,11.71428571,6,12,Graduate
0,1,0,0,25,6,12.125,8,13.3125,Enrolled
0,1,0,1,19,5,11.6,5,11.6,Graduate
0,1,0,0,24,1,10,0,0,Dropout
0,1,0,1,27,1,10,0,0,Dropout
0,1,0,0,21,0,0,2,13.5,Dropout
0,1,0,1,18,4,13,3,12.33333333,Graduate
0,1,0,1,19,6,13.33333333,6,14.5,Graduate
0,1,0,0,18,4,11.25,2,12.5,Dropout
0,1,0,1,19,5,13.85,7,12.19285714,Graduate
0,1,0,1,19,6,13.74166667,7,14.9125,Graduate
0,1,0,0,33,6,15.33333333,5,15.8,Graduate
0,1,0,0,45,5,11,5,13.8,Graduate
0,1,0,1,20,6,12,6,12.85714286,Graduate
0,1,0,0,28,0,0,0,0,Dropout
0,1,0,1,19,7,11.57142857,7,11.57142857,Graduate
0,1,0,0,18,6,12.85714286,3,12.66666667,Graduate
0,1,0,0,38,0,0,0,0,Dropout
0,1,0,0,19,5,13,5,13.2,Graduate
0,1,0,1,21,5,11,5,12,Graduate
0,1,0,0,21,3,12,1,15,Dropout
0,1,0,1,22,5,12.6,6,13,Graduate
0,1,0,1,18,5,13.4,6,13.16666667,Graduate
0,1,0,1,18,6,11.33333333,6,11.57142857,Graduate
0,0,0,0,25,4,13.5,4,14.25,Dropout
1,0,0,0,24,3,11.75,3,10.33333333,Dropout
0,1,0,0,19,6,12.47142857,7,11.4625,Enrolled
0,1,0,0,24,11,12.90909091,9,13.55555556,Enrolled
0,1,0,1,20,5,11.6,5,13.6,Graduate
0,0,0,0,25,0,0,0,0,Dropout
0,1,0,1,20,9,12.9,10,12.36363636,Graduate
0,1,0,0,23,8,13.22,8,13.22,Graduate
0,1,0,1,19,7,13.15142857,7,13.15142857,Graduate
1,0,0,0,29,3,12.75,3,11.33333333,Dropout
0,1,0,0,21,6,11.33333333,4,12.25,Graduate
0,1,0,1,18,6,13.25,5,14.14285714,Graduate
0,1,0,0,19,5,12.4,5,12.4,Enrolled
0,1,0,1,18,6,15,6,12.83333333,Dropout
0,1,0,0,19,5,14.4,5,13,Graduate
0,1,0,0,18,1,11,0,0,Enrolled
0,1,0,0,18,5,12.4,5,10.8,Graduate
1,0,0,1,37,1,16,0,0,Dropout
0,1,0,0,29,5,13.57142857,5,12.33333333,Graduate
0,1,0,0,18,6,11.83333333,6,12.5,Enrolled
0,1,0,1,19,5,11.66666667,5,12.66666667,Graduate
1,0,0,0,22,6,11.83333333,2,13,Dropout
0,1,0,1,20,6,11.16666667,5,10.6,Graduate
0,1,0,0,34,0,0,0,0,Dropout
1,0,0,0,30,8,11.75,6,12.16666667,Dropout
0,1,0,0,18,6,14,6,14,Graduate
0,1,0,0,18,6,12.83333333,6,12,Graduate
0,1,0,0,18,4,12.25,3,11.66666667,Graduate
0,1,0,0,18,7,14.82857143,7,14.82857143,Graduate
0,1,0,1,19,5,11.4,5,12.8,Graduate
0,1,0,1,19,6,13,6,12.5,Graduate
0,1,0,1,18,7,13.67142857,7,13.67142857,Graduate
0,1,0,1,21,6,12.66666667,5,12.8,Graduate
0,0,0,0,20,2,10,1,13,Dropout
0,1,0,0,20,5,13.5,5,12.33333333,Graduate
0,1,0,0,19,7,12.67,8,13.55,Graduate
0,1,0,0,20,6,14.5,6,15.42857143,Graduate
0,1,0,0,18,7,13.68571429,8,15.3875,Graduate
0,1,0,0,20,5,11,3,10.66666667,Dropout
1,0,0,0,29,7,11.55555556,5,13.2,Dropout
0,1,0,1,18,7,13.79714286,8,13.775,Enrolled
0,1,0,1,20,7,14.00375,7,13.81285714,Graduate
0,1,0,1,22,4,12,4,11.4,Graduate
0,1,0,1,47,5,14.16666667,6,14.16666667,Graduate
0,1,0,0,31,5,14,5,13.8,Graduate
0,1,0,1,21,5,13.8,6,12.83333333,Graduate
0,1,0,0,21,5,12.8,6,11.85714286,Graduate
0,1,0,0,24,6,12.16666667,6,13.83333333,Graduate
0,1,0,0,18,6,12.5,6,12.33333333,Enrolled
0,1,0,0,32,4,12,4,11.5,Graduate
0,1,0,1,19,6,10.83333333,6,11.5,Graduate
0,1,0,0,24,8,13.385,8,13.385,Graduate
0,1,0,0,19,6,15.66666667,6,14.5,Graduate
1,1,0,1,19,6,14.33333333,6,13.83333333,Graduate
0,1,0,0,24,6,11.42857143,5,13,Enrolled
0,1,0,1,18,6,11.66666667,6,11.66666667,Graduate
0,1,0,1,19,5,12,2,11.33333333,Dropout
0,1,0,1,19,7,14.72571429,7,14.72571429,Graduate
0,1,0,1,18,6,14.16666667,6,13.66666667,Graduate
0,1,0,0,18,6,11.57142857,6,12.33333333,Graduate
0,1,0,0,20,7,12.5,8,13.1375,Graduate
0,1,0,0,18,8,12.86,8,12.86,Graduate
0,1,0,0,18,6,12.25,6,13.71428571,Graduate
0,1,0,1,21,4,12,5,12.2,Graduate
0,1,0,1,18,7,15.11666667,8,16.16888889,Graduate
1,0,0,0,18,2,12.5,4,10.25,Dropout
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,19,4,11,4,11,Enrolled
0,1,0,0,18,6,11.875,4,14.6,Graduate
0,1,0,0,34,1,11,0,0,Dropout
0,1,0,0,19,5,15.2,5,13.2,Graduate
1,0,0,0,19,5,11.6,2,11,Dropout
1,1,0,0,26,6,14.83333333,6,15.14285714,Graduate
0,1,0,0,21,3,11.33333333,3,11.33333333,Dropout
0,1,0,1,18,5,11.2,5,11.8,Graduate
0,1,0,1,20,5,13.4,5,13.66666667,Graduate
0,1,0,0,25,2,10.5,0,0,Dropout
0,1,0,0,18,5,16.2,5,16.4,Graduate
0,1,0,1,18,7,14.54285714,8,14.88181818,Graduate
0,1,0,0,19,7,13.69428571,8,14.35555556,Graduate
0,1,0,1,18,6,11.28571429,6,11.85714286,Graduate
0,1,0,0,20,6,11.75714286,6,13.08333333,Enrolled
1,0,0,0,26,0,0,0,0,Dropout
0,1,0,1,19,7,13.05857143,7,13.05857143,Graduate
0,1,0,0,19,7,14.3,8,14.05555556,Graduate
0,1,0,0,19,5,11.8,8,12,Graduate
0,1,0,0,19,3,10.33333333,3,13,Enrolled
0,1,0,0,18,6,10.57142857,3,11.66666667,Graduate
0,1,0,0,19,6,13.33333333,6,13.33333333,Graduate
1,1,0,0,18,6,11.85714286,5,11,Graduate
0,1,0,0,18,5,12.6,5,11.4,Enrolled
0,1,0,0,18,5,14,5,11.6,Enrolled
0,1,0,0,18,5,12,6,12.66666667,Enrolled
1,1,0,0,26,0,0,0,0,Dropout
0,1,0,0,20,6,12,6,13,Graduate
0,1,0,0,19,6,12.66666667,6,11.66666667,Graduate
0,1,0,1,18,6,12.16666667,6,13.66666667,Graduate
0,1,0,0,19,6,13.33333333,6,14.66666667,Graduate
1,1,0,0,40,7,15,7,14.57142857,Graduate
0,1,0,1,18,8,13.39125,8,13.39125,Graduate
0,1,0,0,19,5,12.16666667,6,12.42857143,Graduate
0,1,0,0,18,4,11.25,4,12.5,Graduate
0,1,0,0,19,4,12,3,12,Enrolled
0,1,0,0,18,0,0,0,0,Dropout
0,1,0,0,33,6,12.83333333,6,12.85714286,Graduate
0,1,0,0,35,6,14,6,13.1,Graduate
0,1,0,0,26,4,13,2,12,Enrolled
0,1,0,0,18,6,13.5,6,12.5,Graduate
0,1,0,0,36,13,10.69230769,9,12.30769231,Enrolled
0,1,0,0,39,5,11,5,11.66666667,Graduate
0,1,0,0,44,6,13,6,13.83333333,Graduate
0,1,0,0,20,5,12,4,11.25,Enrolled
0,1,0,0,24,4,12.6,4,11.5,Dropout
0,1,0,1,20,6,13.66666667,6,13.33333333,Graduate
0,0,0,0,19,0,0,0,0,Dropout
1,1,0,1,18,6,14.2,6,14.2,Graduate
1,0,0,0,22,5,11,0,0,Dropout
0,1,0,0,18,6,15,6,16.42857143,Graduate
0,1,0,0,24,6,12.58571429,7,13.44285714,Graduate
0,1,0,0,33,0,0,0,0,Dropout
1,1,0,1,30,0,0,0,0,Enrolled
0,1,0,0,26,0,0,0,0,Dropout
0,1,0,0,18,6,11.66666667,6,11.83333333,Graduate
1,1,0,0,19,3,12.66666667,2,10,Dropout
0,1,0,0,20,3,10.33333333,4,11,Enrolled
0,1,0,1,22,8,13.5,7,13.71428571,Graduate
0,1,0,0,19,5,13.98,5,13.98,Enrolled
0,1,0,1,21,6,16.15384615,6,15.75,Graduate
0,1,0,1,21,6,14.03333333,6,14.03333333,Graduate
0,1,0,0,19,1,11,5,11.2,Enrolled
0,1,0,1,19,7,13.85714286,6,13.66666667,Graduate
0,1,0,0,18,7,13.41428571,7,13.41428571,Dropout
0,1,0,0,50,11,13.54545455,7,13.57142857,Graduate
0,1,0,1,31,4,11.25,4,10.83333333,Enrolled
0,1,0,1,19,6,13.83333333,6,14.42857143,Graduate
0,1,0,0,35,5,12,5,12.85714286,Graduate
0,1,0,0,31,0,0,0,0,Dropout
1,1,0,0,42,10,11.9,10,12.8,Enrolled
0,0,0,0,34,0,0,0,0,Dropout
0,1,0,1,18,7,15.13571429,8,15.2875,Graduate
0,0,0,1,18,7,12.28571429,6,13.33333333,Enrolled
0,1,0,0,21,5,12.66666667,2,13.5,Enrolled
0,1,0,1,26,5,12.74,6,10.97857143,Dropout
0,1,0,0,20,6,13.25,8,13.75,Enrolled
0,1,0,0,19,3,10.33333333,3,10.33333333,Enrolled
0,1,0,1,19,6,13.42857143,6,13.16666667,Graduate
0,1,0,0,20,9,12.55555556,8,11.11111111,Graduate
0,1,0,0,19,6,11.5,6,11.16666667,Graduate
0,1,0,0,18,6,13.66666667,6,12.33333333,Graduate
0,1,0,0,28,11,11.27272727,10,12,Graduate
0,1,0,0,22,5,13.16666667,5,12.4,Enrolled
0,1,0,1,21,6,14.66666667,6,14.16666667,Graduate
0,1,0,0,21,4,12.75,1,11,Enrolled
0,1,0,0,26,5,11.2,5,12.14,Enrolled
1,0,0,0,18,5,13,5,11.4,Dropout
0,0,0,0,20,2,10.5,2,12.33333333,Dropout
0,1,0,0,18,6,14.85714286,6,14,Graduate
0,1,0,1,19,7,12.86,7,12.86,Graduate
0,1,0,0,20,11,11.72727273,11,12,Graduate
0,1,0,1,22,6,13.14285714,3,12,Graduate
1,1,0,0,18,5,11.8,4,13.71428571,Dropout
0,1,0,0,19,3,10.66666667,0,0,Dropout
0,1,0,1,18,5,11.6,4,11.2,Enrolled
0,1,0,0,20,3,10.33333333,3,10.33333333,Enrolled
0,1,0,0,19,4,12.25,3,11,Enrolled
0,1,0,0,19,6,12,4,12.75,Enrolled
0,1,0,0,19,7,14.73142857,7,14.73142857,Graduate
0,1,0,0,18,0,0,0,0,Graduate
0,1,0,0,21,13,13.61538462,12,14.25,Graduate
0,1,0,0,27,5,15.8,5,14.8,Graduate
0,1,0,0,19,6,14.66666667,6,14.57142857,Graduate
0,1,0,0,25,0,0,0,0,Dropout
0,1,0,1,18,7,14.65428571,7,14.65428571,Graduate
0,1,0,0,24,7,12.40142857,7,12.40142857,Graduate
0,1,0,0,20,7,11.5875,7,14.07142857,Graduate
0,1,0,0,26,5,14,5,15.6,Graduate
0,1,0,1,20,6,12.33333333,6,11.83333333,Graduate
0,1,0,0,18,5,14,5,15.4,Graduate
0,1,0,0,19,6,15.23076923,6,12.375,Graduate
0,1,0,0,23,5,11.6,3,11,Dropout
0,1,0,1,18,6,11.6,6,11.6,Graduate
0,1,0,0,18,0,0,0,0,Dropout
0,1,0,1,19,7,12.90142857,8,13.09444444,Graduate
0,1,0,0,30,7,14.14285714,5,14.8,Graduate
0,1,0,0,29,0,0,0,0,Dropout
0,1,0,0,19,8,13.25375,8,13.25375,Graduate
0,1,0,0,20,7,13.78571429,8,14.1,Graduate
0,1,0,0,20,6,13.91666667,6,13.91666667,Graduate
0,1,0,0,19,6,13.5,6,13.57142857,Graduate
0,1,0,0,20,3,11.33333333,2,10.66666667,Enrolled
0,1,0,0,21,0,0,0,0,Dropout
0,1,0,0,19,5,11.5,4,14.6,Graduate
0,1,0,1,18,7,12.08285714,7,12.08285714,Graduate
0,1,0,1,27,6,11.83333333,5,12.8,Graduate
0,1,0,1,19,5,13.4,5,12.4,Graduate
0,1,0,1,19,0,0,0,0,Dropout
0,1,0,0,19,5,14.2,6,14.57142857,Graduate
0,1,0,1,18,7,13.81428571,7,13.81428571,Graduate
0,1,0,1,20,4,11.25,6,10.5,Enrolled
0,1,0,1,18,6,14.5,6,13.66666667,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,36,6,11.3,6,11.3,Graduate
0,1,0,0,18,0,0,1,16,Enrolled
1,1,0,0,18,1,12,3,12,Enrolled
0,1,0,0,19,7,12.3,7,12.3,Graduate
0,1,0,1,18,7,12.69428571,7,12.69428571,Graduate
0,1,0,0,18,4,11,4,11,Graduate
0,1,0,1,19,6,13,6,14.16666667,Graduate
0,1,0,1,19,7,14.4125,8,16.05,Graduate
0,1,0,0,18,7,12.92875,8,14.0625,Dropout
0,1,0,0,20,6,13.33333333,5,12.8,Graduate
0,1,0,1,20,5,12.8,5,12.8,Enrolled
0,1,0,0,20,7,14.40285714,7,14.40285714,Graduate
0,1,0,1,18,7,13.38142857,7,13.38142857,Graduate
0,1,0,0,18,7,14.13125,8,13.98375,Graduate
0,1,0,0,19,5,11.71428571,5,12.6,Graduate
0,1,0,0,19,5,11.8,4,11.25,Enrolled
0,1,0,0,44,6,11.16666667,2,11,Graduate
0,1,0,0,32,0,0,0,0,Dropout
0,1,0,0,22,5,13.6,5,12,Dropout
0,1,0,0,36,12,13.84615385,11,14.09090909,Graduate
0,1,0,1,18,6,12.5,6,13.33333333,Graduate
0,1,0,0,20,5,16.4,5,14.6,Graduate
0,1,0,1,20,11,13.81818182,11,13.45454545,Graduate
0,1,0,0,19,5,10.6,4,10.5,Graduate
1,1,0,0,24,5,10.2,5,12.2,Graduate
0,1,0,0,20,5,10.6,4,10.4,Enrolled
0,1,0,0,27,9,11.44444444,5,10.8,Dropout
0,1,0,0,20,5,14.33333333,8,12.625,Enrolled
0,1,0,1,23,16,13,13,13.26666667,Graduate
0,1,0,1,18,8,13.31,8,13.31,Graduate
0,1,0,1,18,5,10.57142857,5,12.2,Graduate
0,1,0,1,20,7,13.48714286,7,13.48714286,Graduate
0,1,0,1,20,6,12.33333333,6,11.83333333,Graduate
0,1,0,0,23,6,11.875,5,12.83333333,Dropout
0,1,0,0,20,6,13.96666667,6,13.96666667,Graduate
0,0,0,0,28,0,0,0,0,Dropout
0,1,0,0,21,4,11.5,5,12.8,Graduate
0,1,0,0,21,2,12.5,0,0,Dropout
0,1,0,0,28,0,0,0,0,Dropout
0,1,0,0,18,6,11.98,7,13.225,Graduate
0,1,0,1,21,5,13.2,5,11.8,Enrolled
0,1,0,0,19,6,11.61428571,8,14.0375,Graduate
0,1,0,1,18,7,14.31428571,7,14.31428571,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,0,20,6,12.66666667,2,13,Enrolled
0,1,0,1,20,6,12.76666667,7,12.12857143,Graduate
0,1,0,1,18,6,12.66666667,5,12.2,Graduate
0,1,0,0,20,6,11.5,4,10.57142857,Dropout
0,1,0,0,31,5,11.4,4,11.75,Dropout
0,1,0,1,19,7,14.70625,8,14.4775,Graduate
0,1,0,1,19,6,11.81428571,7,13.54285714,Graduate
0,1,0,0,23,6,13,6,11.875,Graduate
0,1,0,0,19,6,14.85714286,6,13.33333333,Graduate
0,1,0,0,20,6,12.6,6,12.6,Graduate
1,1,0,0,22,5,13.33333333,4,11.4,Enrolled
0,1,0,0,18,6,10.66666667,6,12.83333333,Enrolled
1,0,0,0,27,2,11.5,1,11,Dropout
0,1,0,0,29,1,10,0,0,Dropout
0,1,0,0,18,5,11.8,5,12.2,Graduate
0,1,0,0,18,5,11.8,6,12.66666667,Graduate
0,1,0,0,18,8,12.77125,8,12.77125,Graduate
